original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
9441,20180826-054028_444_live,7,I looked at the site. Have you heard about the recent storms/flooding in Hawaii?,Conversation Management,Charity Awareness Probe,Empathy Appeal
9443,20180826-054028_444_live,8,"Well, it looks like the STC is already to help the children there. I am amazed by their swift response. Isn't it really great!",Rational / Impact Appeal,Rational Appeal,Framing
9445,20180826-054028_444_live,9,"Yes, I am sure that is it. I have to thank you again for your $1 donation. It will go to great use I am sure. Do you have any questions about the charity?",Conversation Management,Acknowledgement,Reciprocity
9447,20180826-062755_702_live,0,Hi! How are you toad?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9449,20180826-062755_702_live,1,I am well. How is the weather by you?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9451,20180826-062755_702_live,2,"Yes, it looks like today is going to be warm here as well. What are your plans for today?",Conversation Management,Greeting / Rapport,Greeting / Rapport
9453,20180826-062755_702_live,3,I was going to ask you the same. Have you heard of Save th Children and the work they do?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9455,20180826-062755_702_live,4,"Well, STC is a great one! They help a vast amount of kids. You have a chance to help today by donating even a small amount of your pay. As little as $0.05 would be of great help or how much ever you would like to donate from this bonus. Are you able to lend a helping bit?",Call to Action,Call to Action,
9457,20180826-062755_702_live,5,I am so glas! Thank you. Have you heard about the storms/flooding in Hawaii?,Conversation Management,Acknowledgement,Acknowledgement
9459,20180826-062755_702_live,6,"Yes, very bad. But the good news is that STC is already  ready to help out! Have you ever been on their website?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9461,20180826-062755_702_live,7,I went on and looked around. They are helping so many that otherwise would be starving. Do you have kids in your family/extended family?,Emotional Influence,Empathy Appeal,Empathy Appeal
9463,20180826-062755_702_live,8,"I have kids and a few nieces and nephews, and lots of cousins too!. It would really break my heart to see them suffer. So, I never did ask, what are your plans for the day?",Emotional Influence,Empathy Appeal,Non-persuasive Other
9465,20180826-062755_702_live,9,"Oh, that is something for me too. So, just to confirm, I can count on you for a donation of $0.05, right?",Call to Action,Call to Action,Call to Action
9467,20180826-062039_2_live,0,Hi! How are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9469,20180826-062039_2_live,1,"I am doing pretty well, thank you. Do you donate often?",Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
9471,20180826-062039_2_live,2,Would you be interested in hearing about save the children? maybe I can change your mind today,Call to Action,Call to Action,Charity Awareness Probe
9473,20180826-062039_2_live,3,well I am sorry to hear that. But what if a child you help ends up growing up to save all the worlds problems?!,Rational / Impact Appeal,Logical Appeal,Storytelling
9475,20180826-062039_2_live,4,"But we need children to continue reproducing, or us as a species will perish",Norms / Morality / Values,Appeal to Values,Moral Appeal
9477,20180826-062039_2_live,5,Is there a charity that you do donate to?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
9479,20180826-062039_2_live,6,"well i am sorry to hear you feel that way. Is it truly how you feel, or are you acting silly for this conversation",Conversation Management,Qualification / Segmentation,Non-persuasive Other
9481,20180826-062039_2_live,7,How do you expect the world to continue growing?,Rational / Impact Appeal,Rational Appeal,Qualification / Segmentation
9483,20180826-062039_2_live,8,What about donating to robot children of save the children?,Framing & Presentation,Bait-and-switch,Non-persuasive Other
9485,20180826-062039_2_live,9,well i am sorry I couldn't pursuade you today,Conversation Management,Acknowledgement,Conversation Closing
9487,20180826-181903_395_live,0,Hi have you ever done a task like this before?,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
9489,20180826-181903_395_live,1,"Well I really like Save the Children. It's international and nongovernmental, plus it helps many children and their families. Have you heeard of it?",Authority / Expertise,Credibility Appeal,Rational Appeal
9491,20180826-181903_395_live,2,Yes children really need your help. There are children in war zones and under developed countries just begging for help. Would you like to offer some help?,Emotional Influence,Empathy Appeal,Moral Appeal
9493,20180826-181903_395_live,3,That would be great. Would you like to donate today?,Call to Action,Call to Action,Call to Action
9495,20180826-181903_395_live,4,Your donation will be directly deducted from your task payment. You can choose from $0 to all your payment. How much would you like to donate?,Call to Action,Call to Action,Framing
9497,20180826-181903_395_live,5,"The children will thank you, do you think you can do a little more?",Emotional Influence,Empathy Appeal,Moral Appeal
9499,20180826-181903_395_live,6,"So you are donating $0.15, correct?",Conversation Management,Logistics / Coordination,Commitment and Consistency
9501,20180826-181903_395_live,7,"Yes they will. Thanks, have you ben to their site yet?  URL ",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9503,20180826-181903_395_live,8,"Thanks for your donation. The research team will collect all donations and send it to Save the Children."" Aren\'t you glad you helped today?",Self-feeling Appeal,Self-feeling Appeal,
9505,20180826-181903_395_live,9,"Yes they can, thanks again",Conversation Management,Acknowledgement,Acknowledgement
9507,20180826-181717_640_live,0,hii,Conversation Management,Greeting / Rapport,Greeting / Rapport
9509,20180826-181717_640_live,1,good are you going to make a donation,Call to Action,Call to Action,Call to Action
9511,20180826-181717_640_live,2,I am I'm going to donate 5 dollars,Call to Action,Call to Action,Social Proof
9513,20180826-181717_640_live,3,I'm not to sure honestly,Conversation Management,Non-persuasive Other,Non-persuasive Other
9515,20180826-181717_640_live,4,I don't understand,Conversation Management,Non-persuasive Other,Non-persuasive Other
9517,20180826-181717_640_live,5,maybe 2 hour's,Conversation Management,Logistics / Coordination,Non-persuasive Other
9519,20180826-181717_640_live,6,that's a great idea,Conversation Management,Acknowledgement,Acknowledgement
9521,20180826-181717_640_live,7,save the children,Conversation Management,Charity Awareness Probe,Moral Appeal
9523,20180826-181717_640_live,8,yeah and you,Social Influence,Unity,Acknowledgement
9525,20180826-181717_640_live,9,that's really good,Conversation Management,Acknowledgement,Acknowledgement
9527,20180826-020520_686_live,0,Hello! What if i told you that you have the opportunity of a lifetime to make a change in the world? Would you take it?,Call to Action,Call to Action,Greeting / Rapport
9529,20180826-020520_686_live,1,"Well, the opportunity would be able to help fight world hunger by donating to Save the Children. Would you do it now?",Call to Action,Call to Action,Moral Appeal
9531,20180826-020520_686_live,2,It benefits every where not just war torn countries,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9533,20180826-020520_686_live,3,The best part is knowing that you can help make a change in a person's life who is currently unable to financially,Rational / Impact Appeal,Rational Appeal,Self-feeling Appeal
9535,20180826-020520_686_live,4,"Actually, it is a lot more than that because the ""true"" Americans are the Native Indians. Everyone else came from Europe or Africa",Norms / Morality / Values,Appeal to Values,Non-persuasive Other
9537,20180826-020520_686_live,5,So in hindsight we are all immigrants who need a little charity from time to time.,Norms / Morality / Values,Appeal to Values,Appeal to Values
9539,20180826-020520_686_live,6,Have you ever made a donation that you have been proud to be a part of?,Norms / Morality / Values,Self-feeling Appeal,Self-feeling Appeal
9541,20180826-020520_686_live,7,"Well, if you make a donation to Save the Children i can gaurantee that you will know where it goes. Would you donate then?",Call to Action,Call to Action,Rewarding Activity
9543,20180826-020520_686_live,8,That's great to hear. What amount were you thinking of donating? It can be as much as you want.,Call to Action,Call to Action,Commitment and Consistency
9545,20180826-020520_686_live,9,"I sure have, that is why i can cofidently say that now only will your money be going where you want it to but it will be put to good use when it gets there.",Authority / Expertise,Expertise,Credibility Appeal
9547,20180826-020520_686_live,10,How much would you like to donate today?,Call to Action,Call to Action,Call to Action
9548,20180826-180314_928_live,0,Hi. How are you?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9550,20180826-180314_928_live,1,"I'm doing well. Thanks.  Have you been using MTurk long?  I've only just started in the last few days and I love it.  It's pretty easy money most of the time.  I'm Tommy, by the way.",Conversation Management,Greeting / Rapport,Greeting / Rapport
9552,20180826-180314_928_live,2,"Well thanks, Cassidy.  It definitely seems like a fun way to make some extra money.  I feel like sometimes people don't understand how even just a few dollars can make a difference in people's lives.  For example, I like to give a little money to charity each month.  And you'd be surprised how far even just a little bit of money goes in some impoverished countries.  How about you, Cassidy?  Do you like giving to charities? ",Rational / Impact Appeal,Rational Appeal,Appeal to Values
9554,20180826-180314_928_live,3,"Aww, that's really considerate of you. I have two sponsored kids myself, one from Ghana and one from Mexico and they send me letters every month.  Cassidy, you'd be surprised how emotionally attached I am to them and I have never even met them.  I send them 20 dollars on their birthdays and then they send me pics of what they bought.  It's really sweet.  Then there is another charity I like a lot which allows for really small donations.  Have you heard of Save the Children?",Emotional Influence,Storytelling,Storytelling
9556,20180826-180314_928_live,4,"The thing is, Cassidy, is that I don't have any of my own right now, so it kind of fills a need, you know? I like Save the Children because they rank towards the top of reputable charities on the ranking sites. The other thing is that they allow for small donations which have a big impact in countries like Syria where the local currency has dropped so considerably.  It's really really sad what's going on over there.  Anyways, even 50 cents goes a long way you know?",Rational / Impact Appeal,Rational Appeal,Rational Appeal
9558,20180826-180314_928_live,5,"Well, personally, I've made about 8 dollars already here today, so I'm going to donate the 30 cents from this HIT to them.  Did you know that there is an option to do that for this HIT?",Social Influence,Social Proof,Social Proof
9560,20180826-180314_928_live,6,"I say we do it together!  See, Cassidy, no single one of us can fix all the problems in this world. There is too much suffering, too many children growing up in poverty and trauma.  But together, if we stick together, if we put our money together, you'd be surprised how much we can change in this world.  How many lives we can help.  What do you say, Cassidy, do you want to join me today in helping these kids?",Social Influence,Unity,Unity
9562,20180826-180314_928_live,7,"Great!  That's so generous of you.  How much would you like to donate to them today?  Your donation will be directly deducted from your task payment.  You can choose any amount from  zero to the whole .30 cents.  Personally, I'm giving them the full amount.",Social Influence,Unity,
9564,20180826-180314_928_live,8,Well thats fantastic of you.  I feel like together we made a small difference in the world today.  How about you?,Social Influence,Unity,Activation of Personal Commitment
9566,20180826-180314_928_live,9,Well great.  I wish you a happy rest of your weekend. And it was a pleasure chatting with you today.  ,Conversation Management,Conversation Closing,Conversation Closing
9568,20180826-053925_84_live,0,Hello would you like to donate little amount of money to a a children's charity called Save the Children.,Call to Action,Call to Action,Call to Action
9570,20180826-053925_84_live,1,"because I love , dont you ?",Appeal to Values,Appeal to Values,Emotional Appeal
9572,20180826-053925_84_live,2,"excuse me.. that was a typo my friend. because I love children, dont you",Appeal to Values,Appeal to Values,Appeal to Values
9574,20180826-053925_84_live,3,okay thats fine its your personal preference.,Conversation Management,Acknowledgement,Acknowledgement
9576,20180826-053925_84_live,4,"there could be, i am not denying it.",Conversation Management,Acknowledgement,Acknowledgement
9578,20180826-053925_84_live,5,understand but thats not the point though. if you dont want to donate to charity called Save the Children. its your choice.. its your money.,Call to Action,Call to Action,Acknowledgement
9580,20180826-053925_84_live,6,you do not have to guarantee to me. I dont care if you donate or not. it is your choice my friend,Conversation Management,Acknowledgement,Acknowledgement
9582,20180826-053925_84_live,7,who knows? Did I ask that?,Conversation Management,Non-persuasive Other,Non-persuasive Other
9584,20180826-053925_84_live,8,could be. all i need is to submit this survey.,Conversation Management,Logistics / Coordination,Logistics / Coordination
9586,20180826-053925_84_live,9,may be. maybe not.,Conversation Management,Non-persuasive Other,Non-persuasive Other
9588,20180826-190151_488_live,0,Hello! How are you tonight?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9590,20180826-190151_488_live,1,I am good thank you.  Have you heard of Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9592,20180826-190151_488_live,2,Children are our future and I believe in charities helping children.  ,Appeal to Values,Appeal to Values,Appeal to Values
9594,20180826-190151_488_live,3,I do donate to Save the children a lot.  Do you make donations?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
9596,20180826-190151_488_live,4,Check out  URL   It is a great site and you can also make donations on their website.,Call to Action,Call to Action,Call to Action
9598,20180826-190151_488_live,5,The donations I make go for what ever childrens funding needed.  Would you care to donate at the end of the task?,Call to Action,Call to Action,Call to Action
9600,20180826-190151_488_live,6,Thats great! Thank you. How much will you be donating?,Conversation Management,Logistics / Coordination,Activation of Personal Commitment
9602,20180826-190151_488_live,7,Your an awesome individual. The world needs more people like  yourself.  ,Social Influence,Liking,Greeting / Rapport
9604,20180826-190151_488_live,8,Do you do any volunteering?,Conversation Management,Qualification / Segmentation,Donation Baseline / Habit Probe
9606,20180826-190151_488_live,9,Thats fantastic.  I take in children in need who would otherwise do without.  Right now I have 3 extra kids.,Social Influence,Social Proof,Moral Appeal
9608,20180826-174120_426_live,0,"Hi, I would like to speak to you about a wonderful charity called ""save the children"".",Conversation Management,Permission / Time Check,Greeting / Rapport
9610,20180826-174120_426_live,1,"When you give to Save the Children, you're investing in a future for every last child.Nearly 90% of every dollar you give goes straight to our mission _ helping children grow up healthy, learning and safe. ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
9612,20180826-174120_426_live,2,The rest? We use to support the mission _ running our programs and raising funds to help more children. ,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9614,20180826-174120_426_live,3, Giving to Save the Children is one of the world's best investments. Changing children's lives now. Transforming the future we all share.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9616,20180826-174120_426_live,4,"In 2017 alone, Save the Children reached more than 155 million children in 120 countries, including the U.S.  Results like these are only possible because of giving people like you. Whether you give a little or a lot. Every gift makes a world of difference for a child in need.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
9618,20180826-174120_426_live,5,"I know, it is a really great organization. Do you think you'd be willing to donate today?",Call to Action,Call to Action,Call to Action
9620,20180826-174120_426_live,6,How about $.15 today?,Call to Action,Call to Action,
9622,20180826-174120_426_live,7,"Awesome, you are making a world of difference for children around the world. ",Emotional Influence,Emotional Appeal,Moral Appeal
9624,20180826-174120_426_live,8,You're absolutely right. Most people would not even notice the money missing. ,Social Influence,Social Proof,Social Proof
9626,20180826-174120_426_live,9,I will match your contribution. ,Exchange / Incentives,Reciprocity,Reciprocity
9628,20180826-174120_426_live,10,I hope you have a wonderful day. Thank you for your kindness. ,Conversation Management,Acknowledgement,Acknowledgement
9630,20180826-013529_897_live,0,"Hey, do some good, give some money to kids.",Call to Action,Call to Action,Moral Appeal
9632,20180826-013529_897_live,1,"oh, could you afford maybe fifteen cents?",Call to Action,Call to Action,Call to Action
9634,20180826-013529_897_live,2,"that sounds pretty good, I would definitely accept that",Call to Action,Call to Action,Acknowledgement
9636,20180826-013529_897_live,3,"well, I'll match your 5.00, does that sound cool?",Exchange / Incentives,Reciprocity,Reciprocity
9638,20180826-013529_897_live,4,yes there are so many in terrible need,Emotional Influence,Empathy Appeal,Moral Appeal
9640,20180826-013529_897_live,5,"yes I like to give to doctors without borders, they risk their lives to go where they are most needed",Credibility / Authority / Expertise,Credibility Appeal,Moral Appeal
9642,20180826-013529_897_live,6,there are so many wars and so many natural disasters,Rational / Impact Appeal,Rational Appeal,Moral Appeal
9644,20180826-013529_897_live,7,it is so hard to make a choice,Emotional Influence,Empathy Appeal,Framing
9646,20180826-013529_897_live,8,"wish that we could, but like all working on MTurk we are poor ourselves",Rational / Impact Appeal,Rational Appeal,Greeting / Rapport
9648,20180826-013529_897_live,9,"yes that is so true, so often it is just left to governments to do",Social Influence,Social Proof,Non-persuasive Other
9650,20180826-080505_231_live,0,You care for children?,Commitment / Consistency,Activation of Personal Commitment,Charity Awareness Probe
9652,20180826-080505_231_live,1,That's very commendable,Conversation Management,Acknowledgement,Acknowledgement
9654,20180826-080505_231_live,2,Would you like to help them out?,Call to Action,Call to Action,Appeal to Values
9656,20180826-080505_231_live,3,Could you make a small donation of 25 cents?,Call to Action,Call to Action,Commitment and Consistency
9658,20180826-080505_231_live,4,"That would be great, It's to the Save the Children charity and it goes a long way.",Rational / Impact Appeal,Rational Appeal,Appeal to Values
9660,20180826-080505_231_live,5,You are a good person my friend,Norms / Morality / Values,Self-feeling Appeal,Self-feeling Appeal
9662,20180826-080505_231_live,6,Awesome.. How do you end this study.,Conversation Management,Conversation Closing,Logistics / Coordination
9664,20180826-080505_231_live,7,It will everything helps,Conversation Management,Acknowledgement,Rational Appeal
9666,20180826-080505_231_live,8,It certainly is,Conversation Management,Acknowledgement,Acknowledgement
9668,20180826-080505_231_live,9,Yes it does and thank you for the donation,Conversation Management,Acknowledgement,Acknowledgement
9670,20180826-062356_655_live,0,hi how are you,Conversation Management,Greeting / Rapport,Greeting / Rapport
9672,20180826-062356_655_live,1," I'm fine, you've heard about the child support organization",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9674,20180826-062356_655_live,2," not a nonprofit organization that helps kids around the world, I've gotten to save $ 100",Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
9676,20180826-062356_655_live,3," I've donated $ 100 to this organization, sorry",Social Influence,Social Proof,Social Proof
9678,20180826-062356_655_live,4,"The Save the Children Fund, commonly known as Save the Children, is an international non-governmental organisation that promotes children's rights, provides relief and helps support children in developing countries.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
9680,20180826-062356_655_live,5,yes it is a very positive organisation ,Authority / Expertise,Credibility Appeal,Appeal to Values
9682,20180826-062356_655_live,6,i am a person positive and help the children ,Emotional Influence,Empathy Appeal,Credibility Appeal
9684,20180826-062356_655_live,7," I give a lot of money to the children in need, with pain everywhere they are",Social Influence,Social Proof,Empathy Appeal
9686,20180826-062356_655_live,8,yes i give very much money,Social Influence,Social Proof,Non-persuasive Other
9688,20180826-062356_655_live,9,there are the future of the word,Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
9690,20180826-064104_677_live,0,Good morning! How are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9692,20180826-064104_677_live,1,I am doing well! What are your plans for today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9694,20180826-064104_677_live,2,"Oh, the same. Maybe spend some time outside. It looks nice. I am wondering, have you hear of the Save the Children charity?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9696,20180826-064104_677_live,3,Oh that is great! I was on their website today and saw that they do a lot of great work to help kids out that are in need. They are always looking for donations. Are you willing to give even $0.10 of today's pay to help?,Call to Action,Call to Action,Moral Appeal
9698,20180826-064104_677_live,4,"Can you confirm your donation in a number amount with the $ sign, just to avoid confusion?",Conversation Management,Logistics / Coordination,Logistics / Coordination
9700,20180826-064104_677_live,5,"Ooops, it looks like it did not show up, can you try again? Thank you! It will really help the kids in need!",Call to Action,Call to Action,Commitment and Consistency
9702,20180826-064104_677_live,6,Yes! Yes I can! That worked out. Have you heard about all of the storms/flooding in Hawaii?,Conversation Management,Charity Awareness Probe,Emotional Appeal
9704,20180826-064104_677_live,7,"Well, then you will be interested to know that the STC website is already pledging to help these kids out! Have you ever been on their website?",Conversation Management,Charity Awareness Probe,Framing
9706,20180826-064104_677_live,8,I went on today and really learned a lot. Would you be surprised to find their home base is in CT?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9708,20180826-064104_677_live,9,"I was as well! I figured they would be in a more prominent area! So, just to confirm today I can count on you for $0.10?",Call to Action,Call to Action,Call to Action
9710,20180826-204907_535_live,0,Hello?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9712,20180826-204907_535_live,1,How are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9714,20180826-204907_535_live,2,"I'm doing well, thank you! Have you ever heard of the charity Save the Children?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9716,20180826-204907_535_live,3,"Save the Children is a great charity that provides education, healthcare, and advocacy to children in need in the U.S. and all over the world. Does this sound like a good charity to you?",Rational / Impact Appeal,Rational Appeal,Rational Appeal
9718,20180826-204907_535_live,4,I think so too! Do you believe that children in need deserve help from others?,Appeal to Values,Appeal to Values,Appeal to Values
9720,20180826-204907_535_live,5,That's great that you care so much about children's needs! Save the Children is an exceptional charity in that over 86% of the donations go directly to children's programs all over the world. Have you donated to a charity before?,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
9722,20180826-204907_535_live,6,Those are great causes also. You mentioned earlier that you believe children to be one of the world's most important assets. Would you be willing to donate your earnings from this task to Save the Children?,Call to Action,Call to Action,Commitment and Consistency
9724,20180826-204907_535_live,7,"Save the Children make the programs they support and the percentage of funding for each one available on their website. They are very transparent! Some of the causes they support include Emergencies (38%), Health and Nutrition (36%), and Education to more than 136 thousand children all over the world. The researchers curating this task collect the earnings from those who donate and send them directly to Save the Children. How much of your earnings would you be willing to donate?",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
9726,20180826-204907_535_live,8,That's great! And any amount will go directly to benefiting children. However in this case I'm only asking about your earnings from this particular task :) . The full amount would be 30 cents.,Call to Action,Call to Action,Framing
9728,20180826-204907_535_live,9,Great! Thank you for your donation and for supporting children in need. Hope you have a great day!,Conversation Management,Acknowledgement,Acknowledgement
9730,20180826-182527_314_live,0,Hi,Conversation Management,Greeting / Rapport,Greeting / Rapport
9732,20180826-182527_314_live,1,I would donate,Call to Action,Call to Action,Non-persuasive Other
9734,20180826-182527_314_live,2,I would donate money,Call to Action,Call to Action,Non-persuasive Other
9736,20180826-182527_314_live,3,To children that need help,Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
9738,20180826-182527_314_live,4,Yes good bless,Conversation Management,Acknowledgement,Non-persuasive Other
9740,20180826-182527_314_live,5,Like 4 dollars,Call to Action,Call to Action,Non-persuasive Other
9742,20180826-182527_314_live,6,I know it will help alot,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9744,20180826-182527_314_live,7,The children what about you,Call to Action,Call to Action,Call to Action
9746,20180826-182527_314_live,8,Oh wow. U will be alright god be bless all of yall,Conversation Management,Acknowledgement,Acknowledgement
9748,20180826-182527_314_live,9,That's also great,Conversation Management,Acknowledgement,Acknowledgement
9750,20180826-072151_442_live,0,Are you aware of Save the children Organization?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9752,20180826-072151_442_live,1,I saw a children die once,Emotional Influence,Storytelling,Storytelling
9754,20180826-072151_442_live,2,He was hungry with no food.I was serving in Afghanistan ,Emotional Influence,Storytelling,Storytelling
9756,20180826-072151_442_live,3,Yes.I tried to give him my food but it was too late,Emotional Influence,Storytelling,Storytelling
9758,20180826-072151_442_live,4,Exactly.More than thousands children have died of hunger in Syria this year.We must do something about it,Rational / Impact Appeal,Rational Appeal,Moral Appeal
9760,20180826-072151_442_live,5,Donate to Save the Children.They are a blessing to humanity,Authority / Expertise,Credibility Appeal,Moral Appeal
9762,20180826-072151_442_live,6,Thats actual help.They really make a difference.I see it with my own eyes,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
9764,20180826-072151_442_live,7,Yes they are.How much money do you spend on candies?,Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
9766,20180826-072151_442_live,8,Because you can use some of that money to donate to Save and Children?,Rational / Impact Appeal,Rational Appeal,Framing
9768,20180826-072151_442_live,9,I willing to donate 5.And You?,Call to Action,Call to Action,Pre-giving
9770,20180826-175706_443_live,0,Have you ever heard of Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9772,20180826-175706_443_live,1,It is an international non-governmental organisation. It promotes children's rights,Authority / Expertise,Credibility Appeal,Non-persuasive Other
9774,20180826-175706_443_live,2,Would you be interested in donating to this charity?,Call to Action,Call to Action,Commitment and Consistency
9776,20180826-175706_443_live,3,Kids are dying from hunger every minute. Don't you want to help stop that?,Emotional Influence,Fear Appeal,Guilt Induction
9778,20180826-175706_443_live,4,"I understand, but I can assure you that is goes directly to the kids.",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
9780,20180826-175706_443_live,5,"I do not, but they are a very professional organization. It is an international company.",Authority / Expertise,Credibility Appeal,Credibility Appeal
9782,20180826-175706_443_live,6,That isn't a lot for a CEO.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9784,20180826-175706_443_live,7,There isn't a lot of support for children in developing countries. This should make you mad and want to help.,Emotional Influence,Emotional Appeal,Emotional Appeal
9786,20180826-175706_443_live,8,"Yes, why don't you join me?",Call to Action,Call to Action,Unity
9788,20180826-175706_443_live,9,"How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.""",Call to Action,Call to Action,Pre-giving
9790,20180826-174933_275_live,0,hi how are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
9792,20180826-174933_275_live,1,I am good do you have any children?,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
9794,20180826-174933_275_live,2,I have two also but mine are grown and gone now ,Conversation Management,Greeting / Rapport,Acknowledgement
9796,20180826-174933_275_live,3,32 and 29 a boy and a girl and 4 grand kids 3 girls and 1 boy ages 6 to 14. Unfortunately they all live far away. And you?,Conversation Management,Greeting / Rapport,Qualification / Segmentation
9798,20180826-174933_275_live,4,That was a hectic but really fun time for me and my kids. Have you ever heard of Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9800,20180826-174933_275_live,5,I am not an expert but I believe they help children in war torn areas to get to safety and make food and medical supplies available,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9802,20180826-174933_275_live,6,Would you be willing to donate something to this cause?,Call to Action,Call to Action,Call to Action
9804,20180826-174933_275_live,7,I can understand that I donate regularly to St Judes Childrens hospital myself. I appreciate your commitment to your cause and it is an important one.,Conversation Management,Acknowledgement,Appeal to Values
9806,20180826-174933_275_live,8,Yours is so much more hands on and personal i really admire your dedication because you also donate your time and yourself and it sets a good example for your children to Kudos to you.,Conversation Management,Acknowledgement,Acknowledgement
9808,20180826-174933_275_live,9,Not officially I am kind of the one that even strangers come up to and talk to when something is going wrong in their life and I try to encourage and comfort them and point them to a helping hand if I know of one. Like a shelter or a free counseling place or a food bank.,Social Influence,Social Proof,Greeting / Rapport
9810,20180826-184037_209_live,0,"Hello, how are you?",Conversation Management,Greeting / Rapport,Greeting / Rapport
9812,20180826-184037_209_live,1,"I always they to donate when ever I am able. Especially childrens charities, children are so innocent and deserve the best chance at life.",Appeal to Values,Appeal to Values,Moral Appeal
9814,20180826-184037_209_live,2,YEs I always look into the charities that i donate to. For instance I always donate to our local childrens hospital because my nephew was treat there when he was diagnosed with cancer. I saw how many sick little kids where there fight for their lives. So I also donate to the hospital and childrens cancer network because the money goes directly to research cancers that effect children.,Rational / Impact Appeal,Rational Appeal,Storytelling
9816,20180826-184037_209_live,3,Sadly that is true some times. How do you feel about donating to childrens charities?,Conversation Management,Charity Awareness Probe,Call to Action
9818,20180826-184037_209_live,4,"True, but there are so many innocent little children who don't have access to food or clean water, not to mention basic health needs. We are lucky to have help if needed they have no one to turn to.",Emotional Influence,Empathy Appeal,Sympathy Appeal
9820,20180826-184037_209_live,5,I try to donate at least 250 every year. ,Conversation Management,Donation Baseline / Habit Probe,
9822,20180826-184037_209_live,6,"Yes, I have two and I have a lot of nephews and nieces, 1 has a lot of  health issues so childrens charities are always important to me. Do you have children?",Social Influence,Unity,Qualification / Segmentation
9824,20180826-184037_209_live,7,"Yes, probably but my nephew got sick before I had kids and thats what made me realize that cancer or any illness can happen to anyone whether its your child or some one close to you. It is the scariest thing that can happen to anyone especially a child. Once I saw how many children were fighting cancer and other serious disease it woke me up to what is important in life and just because we are not going through it there are so many children suffering that the least I can do is donate.",Emotional Influence,Storytelling,Storytelling
9826,20180826-184037_209_live,8,Yes I am fine with that,Conversation Management,Acknowledgement,Logistics / Coordination
9828,20180826-184037_209_live,9,"Yes that is what I believe to, We wouldn't even notice 10 cents we spend so much on coffee little things the .10 cents is nothing.",Rational / Impact Appeal,Rational Appeal,Framing
9830,20180826-061500_476_live,0,Hi would you be willing to donate to Save the Children?,Call to Action,Call to Action,Call to Action
9832,20180826-061500_476_live,1,They help support children in warzones  and it helps provide them with things they need,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9834,20180826-061500_476_live,2,It is a good charity and any little bit will help,Call to Action,Call to Action,Rational Appeal
9836,20180826-061500_476_live,3,They are good also but right now this is the organization that needs it most.,Urgency / Scarcity,Urgency,Rational Appeal
9838,20180826-061500_476_live,4,There are lots of children in need but this will help children with medical and emotional support in war areas.,Rational / Impact Appeal,Rational Appeal,Appeal to Values
